,Start,Target,Distance
0,Aberdeen,Aberdeen,0
1,Aberdeen,Adelaide,16192
2,Aberdeen,Algiers,2291
3,Aberdeen,Amsterdam,696
4,Aberdeen,Ankara,3158
5,Aberdeen,Asuncin,10521
6,Aberdeen,Athens,2849
7,Aberdeen,Auckland,17748
8,Aberdeen,Bangkok,9469
9,Aberdeen,Barcelona,1779
10,Aberdeen,Beijing,7796
11,Aberdeen,Belm,7709
12,Aberdeen,Belfast,367
13,Aberdeen,Belgrade,2076
14,Aberdeen,Berlin,1119
15,Aberdeen,Birmingham,526
16,Aberdeen,Bogot,8511
17,Aberdeen,Bombay,7339
18,Aberdeen,Bordeaux,1374
19,Aberdeen,Bremen,829
20,Aberdeen,Brisbane,16186
21,Aberdeen,Bristol,632
22,Aberdeen,Brussels,817
23,Aberdeen,Bucharest,2411
24,Aberdeen,Budapest,1785
25,Aberdeen,Buenos Aires,11476
26,Aberdeen,Cairo,3969
27,Aberdeen,Calcutta,7948
28,Aberdeen,Canton,9267
29,Aberdeen,Cape Town,10308
30,Aberdeen,Caracas,7530
31,Aberdeen,Cayenne,7267
32,Aberdeen,Chihuahua,8148
33,Aberdeen,Chongqing,8292
34,Aberdeen,Copenhagen,918
35,Aberdeen,Crdoba,11430
36,Aberdeen,Dakar,4897
37,Aberdeen,Darwin,13661
38,Aberdeen,Djibouti,6357
39,Aberdeen,Dublin,497
40,Aberdeen,Durban,10162
41,Aberdeen,Edinburgh,150
42,Aberdeen,Frankfurt,1056
43,Aberdeen,Georgetown,7391
44,Aberdeen,Glasgow,195
45,Aberdeen,Guatemala City,8548
46,Aberdeen,Guayaquil,9478
47,Aberdeen,Hamburg,866
48,Aberdeen,Hammerfest,1928
49,Aberdeen,Havana,7283
50,Aberdeen,Helsinki,1593
51,Aberdeen,Hobart,17352
52,Aberdeen,Hong Kong,9390
53,Aberdeen,Iquique,10636
54,Aberdeen,Irkutsk,6121
55,Aberdeen,Jakarta,11728
56,Aberdeen,Johannesburg,9690
57,Aberdeen,Kingston,7414
58,Aberdeen,Kinshasa,7011
59,Aberdeen,Kuala Lumpur,10541
60,Aberdeen,La Paz,10186
61,Aberdeen,Leeds,380
62,Aberdeen,Lima,10238
63,Aberdeen,Lisbon,2110
64,Aberdeen,Liverpool,418
65,Aberdeen,London,638
66,Aberdeen,Lyons,1355
67,Aberdeen,Madrid,1862
68,Aberdeen,Manchester,405
69,Aberdeen,Manila,10486
70,Aberdeen,Marseilles,1623
71,Aberdeen,Mazatln,8672
72,Aberdeen,Mecca,5214
73,Aberdeen,Melbourne,16791
74,Aberdeen,Mexico City,8610
75,Aberdeen,Milan,1515
76,Aberdeen,Montevideo,11414
77,Aberdeen,Moscow,2412
78,Aberdeen,Munich,1360
79,Aberdeen,Nagasaki,9052
80,Aberdeen,Nagoya,9061
81,Aberdeen,Nairobi,7383
82,Aberdeen,Nanjing (Nanking),8667
83,Aberdeen,Naples,2160
84,Aberdeen,New Delhi,6745
85,Aberdeen,Newcastle-on-Tyne,245
86,Aberdeen,Odessa,2524
87,Aberdeen,Osaka,9074
88,Aberdeen,Oslo,806
89,Aberdeen,Panama City,8411
90,Aberdeen,Paramaribo,7328
91,Aberdeen,Paris,975
92,Aberdeen,Perth,14606
93,Aberdeen,Plymouth,759
94,Aberdeen,Port Moresby,14087
95,Aberdeen,Prague,1341
96,Aberdeen,Rangoon,8921
97,Aberdeen,Reykjavk,1318
98,Aberdeen,Rio de Janeiro,9694
99,Aberdeen,Rome,1987
100,Aberdeen,Salvador,8476
101,Aberdeen,Santiago,11936
102,Aberdeen,St. Petersburg,1888
103,Aberdeen,So Paulo,9877
104,Aberdeen,Shanghai,8868
105,Aberdeen,Singapore,10851
106,Aberdeen,Sofia,2408
107,Aberdeen,Stockholm,1201
108,Aberdeen,Sydney,16743
109,Aberdeen,Tananarive,9619
110,Aberdeen,Teheran,4602
111,Aberdeen,Tokyo,9093
112,Aberdeen,Tripoli,2933
113,Aberdeen,Venice,1639
114,Aberdeen,Veracruz,8463
115,Aberdeen,Vienna,1583
116,Aberdeen,Vladivostok,8072
117,Aberdeen,Warsaw,1575
118,Aberdeen,Wellington,18237
119,Aberdeen,Zrich,1306
120,Adelaide,Aberdeen,16192
121,Adelaide,Adelaide,0
122,Adelaide,Algiers,16045
123,Adelaide,Amsterdam,15908
124,Adelaide,Ankara,13621
125,Adelaide,Asuncin,13108
126,Adelaide,Athens,14301
127,Adelaide,Auckland,3244
128,Adelaide,Bangkok,6739
129,Adelaide,Barcelona,16180
130,Adelaide,Beijing,8626
131,Adelaide,Belm,15902
132,Adelaide,Belfast,16521
133,Adelaide,Belgrade,14747
134,Adelaide,Berlin,15331
135,Adelaide,Birmingham,16356
136,Adelaide,Bogot,15239
137,Adelaide,Bombay,9167
138,Adelaide,Bordeaux,16398
139,Adelaide,Bremen,15634
140,Adelaide,Brisbane,1607
141,Adelaide,Bristol,16429
142,Adelaide,Brussels,15968
143,Adelaide,Bucharest,14305
144,Adelaide,Budapest,14902
145,Adelaide,Buenos Aires,12088
146,Adelaide,Cairo,13321
147,Adelaide,Calcutta,8298
148,Adelaide,Canton,6985
149,Adelaide,Cape Town,10155
150,Adelaide,Caracas,16256
151,Adelaide,Cayenne,16485
152,Adelaide,Chihuahua,13964
153,Adelaide,Chongqing,7937
154,Adelaide,Copenhagen,15359
155,Adelaide,Crdoba,12259
156,Adelaide,Dakar,16730
